id:ID,name,:LABEL,描述
fc_001,轴承长期运行磨损,故障原因,轴承达到使用寿命，正常磨损
fc_002,润滑油不足,故障原因,齿轮箱或液压系统油位过低，润滑不良
fc_003,润滑油污染,故障原因,润滑油中混入杂质、水分或金属颗粒
fc_004,润滑油变质,故障原因,润滑油使用时间过长，氧化变质
fc_005,齿轮过载运行,故障原因,风机长期在过载工况下运行，齿轮受力过大
fc_006,齿轮制造缺陷,故障原因,齿轮在制造过程中存在材质或加工缺陷
fc_007,齿轮安装不当,故障原因,齿轮安装时对中不良或间隙调整不当
fc_008,冷却器堵塞,故障原因,冷却器散热片被灰尘、油污堵塞，散热效果差
fc_009,冷却风扇故障,故障原因,冷却风扇不转或转速不够，散热不良
fc_010,过滤器堵塞,故障原因,过滤器滤芯被杂质堵塞，油液流通不畅
fc_011,密封件老化损坏,故障原因,密封件使用时间过长，老化变硬或开裂
fc_012,螺栓松动,故障原因,设备长期运行振动，导致螺栓松动
fc_013,轴封损坏,故障原因,轴封磨损或老化，导致油液渗漏
fc_014,润滑油泵故障,故障原因,润滑油泵电机损坏或叶轮堵塞，无法供油
fc_015,主轴弯曲变形,故障原因,主轴受到极端载荷冲击，发生弯曲变形
fc_016,联轴器安装不对中,故障原因,联轴器安装时同轴度偏差过大
fc_017,联轴器螺栓松动,故障原因,联轴器螺栓长期振动松动
fc_018,刹车盘磨损严重,故障原因,刹车盘使用时间过长，磨损超过极限
fc_019,刹车钳活塞卡滞,故障原因,刹车钳活塞被油污或杂质卡滞，无法动作
fc_020,发电机绕组绝缘老化,故障原因,发电机绕组长期运行，绝缘老化
fc_021,发电机过载运行,故障原因,发电机长期在过载工况下运行，温度过高
fc_022,滑环表面污染,故障原因,滑环表面被碳粉、油污污染，接触不良
fc_023,碳刷压力不足,故障原因,碳刷弹簧压力不够，碳刷与滑环接触不良
fc_024,碳刷型号不符,故障原因,使用了不符合要求的碳刷型号
fc_025,励磁调节器故障,故障原因,励磁系统调节器损坏，无法正常励磁
fc_026,变桨电机过载,故障原因,变桨阻力过大，导致电机过载
fc_027,变桨电机轴承损坏,故障原因,变桨电机轴承磨损，导致电机故障
fc_028,变桨减速器齿轮磨损,故障原因,变桨减速器齿轮长期运行磨损
fc_029,变桨编码器接线松动,故障原因,编码器信号线接头松动，信号中断
fc_030,变桨编码器损坏,故障原因,编码器受到冲击或振动损坏
fc_031,变桨蓄电池老化,故障原因,蓄电池使用时间过长，容量衰减
