:START_ID,:END_ID,:TYPE
eq_001,eq_002,包含
eq_002,eq_003,包含
eq_003,eq_004,包含
eq_004,eq_005,包含
eq_004,eq_006,包含
eq_004,eq_007,包含
eq_004,eq_008,包含
eq_004,eq_009,包含
eq_004,eq_010,包含
eq_004,eq_011,包含
eq_004,eq_012,包含
eq_004,eq_013,包含
eq_003,eq_014,包含
eq_014,eq_015,包含
eq_003,eq_016,包含
eq_003,eq_017,包含
eq_017,eq_018,包含
eq_017,eq_019,包含
eq_002,eq_020,包含
eq_020,eq_021,包含
eq_021,eq_022,包含
eq_021,eq_023,包含
eq_021,eq_024,包含
eq_021,eq_025,包含
eq_021,eq_026,包含
eq_020,eq_027,包含
eq_002,eq_028,包含
eq_028,eq_029,包含
eq_029,eq_030,包含
eq_029,eq_031,包含
eq_029,eq_032,包含
eq_029,eq_033,包含
eq_029,eq_034,包含
eq_029,eq_035,包含
eq_029,eq_036,包含
eq_029,eq_037,包含
eq_029,eq_038,包含
eq_029,eq_039,包含
eq_029,eq_040,包含
eq_029,eq_041,包含
eq_029,eq_042,包含
eq_029,eq_043,包含
eq_002,eq_044,包含
eq_044,eq_045,包含
eq_044,eq_046,包含
eq_044,eq_047,包含
eq_044,eq_048,包含
eq_044,eq_049,包含
eq_044,eq_050,包含
eq_002,eq_051,包含
eq_051,eq_052,包含
eq_051,eq_053,包含
eq_051,eq_054,包含
eq_051,eq_055,包含
eq_051,eq_056,包含
eq_002,eq_057,包含
eq_057,eq_058,包含
eq_057,eq_059,包含
eq_057,eq_060,包含
eq_057,eq_061,包含
eq_057,eq_062,包含
eq_057,eq_063,包含
eq_057,eq_064,包含
eq_001,eq_065,包含
eq_065,eq_066,包含
eq_065,eq_067,包含
eq_065,eq_068,包含
eq_004,fm_001,易发生
eq_004,fm_002,易发生
eq_004,fm_003,易发生
eq_004,fm_004,易发生
eq_004,fm_005,易发生
eq_004,fm_006,易发生
eq_004,fm_007,易发生
eq_004,fm_008,易发生
eq_004,fm_009,易发生
eq_004,fm_010,易发生
eq_004,fm_011,易发生
eq_004,fm_012,易发生
eq_004,fm_013,易发生
eq_014,fm_014,易发生
